t,true_x,true_y,gps_x,gps_y,imu_x,imu_y,mode
0.0,2.5,0.0,1.964352516931216,0.7553607237225507,3.018631617422108,0.5278350493093443,NORMAL
0.5,5.0,0.0,4.052243277767673,1.9379797750122623,5.873444115311776,0.9706744910925714,NORMAL
1.0,7.5,0.0,9.854398737727912,1.8407098494073708,7.840170530575683,1.1117803097453438,NORMAL
1.5,10.0,0.0,9.368675999175911,2.357958776133141,8.083160131621057,1.607499873650902,NORMAL
2.0,12.5,0.0,11.904150677847412,1.3377740927708885,12.326000056500074,2.119532972283751,NORMAL
2.5,15.0,0.0,13.789200209869003,0.9785980826083619,14.624335955275413,2.120809533163657,NORMAL
3.0,17.5,0.0,18.26661194768778,-1.403414063013296,17.746712757166613,2.549171528868386,NORMAL
3.5,20.0,0.0,16.00689868786881,1.3013296489925552,20.094836085572116,3.7042654757659794,NORMAL
4.0,22.5,0.0,23.10567533046405,1.6041413651032788,24.62984115107971,3.9537257992289234,NORMAL
4.5,25.0,0.0,26.062500317353035,-0.4808023099955417,27.031309156473426,4.5057815611864385,NORMAL
5.0,27.5,0.0,28.900057724213347,-1.8157237824766652,28.880893354711883,4.207630906662947,NORMAL
5.5,30.0,0.0,28.005982648716078,-1.1761517820693457,30.933094740783286,3.3332780302774845,NORMAL
6.0,32.5,0.0,30.74854727430332,1.5562096346499772,33.55511786227279,2.9174783251927554,NORMAL
6.5,35.0,0.0,36.66544219156155,0.4189817654515521,36.524502279492324,2.4352255523983355,NORMAL
7.0,37.5,0.0,41.026335523482736,0.523724190124275,38.47807348235324,3.57248015840486,NORMAL
7.5,40.0,0.0,36.49633815291048,-0.18694545650981295,40.796510445096416,4.592600453502988,NORMAL
8.0,42.5,0.0,42.67552599000068,3.6360623722480363,42.337738953619365,4.8322554154213595,NORMAL
8.5,45.0,0.0,45.73143580632082,-1.6556707979034753,46.38622367081303,5.781556271073355,NORMAL
9.0,47.5,0.0,44.95455286994132,0.05290104537784196,48.9809864724254,5.682658274490753,NORMAL
9.5,50.0,0.0,51.53465503647389,0.9078207722751329,50.61261490858473,5.318802690917504,NORMAL
10.0,52.5,0.0,52.25255443102643,0.04045277991223291,53.55084949914462,5.046349508097011,NORMAL
